start,role
2026-04-02 17:37:31.200,Field
2026-04-02 17:40:31.200,Field
2026-04-02 17:43:31.200,Noise
2026-04-02 17:46:31.200,Noise
2026-04-02 17:49:31.200,Noise
2026-04-02 17:52:31.200,Field
2026-04-02 17:55:31.200,Field
2026-04-02 17:58:31.200,Field
2026-04-02 18:01:31.200,GK
2026-04-02 18:04:31.200,Noise
2026-04-02 18:07:31.200,Noise
2026-04-02 18:10:31.200,GK
2026-04-02 18:13:31.200,GK
2026-04-02 18:16:31.200,Noise
2026-04-02 18:19:31.200,Noise
2026-04-02 18:22:31.200,GK
2026-04-02 18:25:31.200,GK
2026-04-02 18:28:31.200,GK
2026-04-02 18:31:31.200,Noise
2026-04-02 18:34:31.200,Noise
2026-04-02 18:37:31.200,Noise
2026-04-02 18:40:31.200,Field
2026-04-02 18:43:31.200,Noise
2026-04-02 18:46:31.200,Noise
